	442	   	120	   	32	36	
	615	   	120	   	32	4	
	686	   	120	   	32	24	
	800	   	120	   	32	36	
	551	   	120	   	32	12	
	650	   	120	   	32	4	
	354	   	120	   	32	4	
	500	   	120	   	32	12	
	614	   	120	   	32	4	
	242	   	32	   	120	40	
	205	   	120	   	32	24	
	635	   	120	   	32	24	
	626	   	120	   	32	8	
	706	   	120	   	32	2	
	866	   	120	   	32	2	
	656	   	120	   	32	6	
	360	   	120	   	32	10	
	269	   	120	   	32	4	
	656	   	32	   	120	2	
	2000	   	120	   	32	4	
	558	   	120	   	32	8	
	99	   	600	   	32	2	
	99	   	656	   	32	1	
